commodity,supplier_name,supplier_location,consumer_location,value,weight,rows_for_commodity,rank_desc_within_commodity,median_value_for_commodity,p95_value_for_commodity,p99_value_for_commodity,max_value_for_commodity,ratio_to_median,ratio_to_p95,ratio_to_p99,is_top_value_for_commodity,flag_abnormally_high
iron,iron production,GLO,GLO,14.11880786482608,0.4209768345803022,864,1,2.4859476474855658e-05,0.07604206158148633,0.7679538416658596,14.11880786482608,567944.6982363717,185.67102957481538,18.384969380710828,True,True
phosphate,phosphate,GLO,GLO,41.87881946811029,0.3296806535869837,765,3,0.0003287460039873756,0.7063852363069247,8.047787951341993,22677.74382497607,127389.5924518021,59.286091095360774,5.20376775845925,False,True
silver,__ANY__,GLO,GLO,271.2386732681718,0.4253195865154266,345,3,0.0216778757661588,37.32422108639945,155.7747956122628,565.2734490392182,12512.234879194246,7.267095343806339,1.7412231048167044,False,False
molybdenite,__ANY__,GLO,GLO,246.0465221460375,1.726512222784757,369,1,0.2060079785610204,9.68047725371505,144.7294207895274,246.0465221460375,1194.3543345490257,25.41677602223722,1.700044958404486,True,False
bauxite,bauxite,GLO,GLO,9.742032396965664,14.20162815451622,834,3,0.00012016541978582395,0.1769287632347292,6.425638985968034,17.46304471997223,81071.84591315298,55.06189168372262,1.5161188510963335,False,False
"tellurium,",tellurium production,GLO,GLO,1354.766151375071,0.8272448400005697,512,3,1.7667990212246465,183.25067678890554,1054.6904628370871,5924.900533448042,766.7913187069929,7.3929667006670075,1.284515409128465,False,False
magnesium,magnesium,GLO,GLO,22.60214398547538,0.003043206033110619,867,3,0.0002957372243884887,3.0732716522123313,17.7597324954385,31.42240060287749,76426.44253597433,7.354424386534446,1.272662411513272,False,False
manganese,manganese,GLO,GLO,0.7474727472215488,10.14797365546227,795,13,0.0004493881062800419,0.2105195832531381,1.2199247123668397,118.4098980928227,1663.3122612189288,3.5506090961749357,0.6127203913849223,False,False
platinum,__ANY__,GLO,GLO,13384.73535105583,0.001606632328033447,1106,31,0.3570799419661904,4750.085384879425,27043.191161900922,249540.4963575593,37483.86223363715,2.8177883693759296,0.49493919822275106,False,False
chromite,chromite,GLO,GLO,0.1896760056040512,3266.699305412531,633,97,0.00722133392171972,0.2851479628748156,0.4013610476613219,1.932983591950425,26.266062151420485,0.6651845017294475,0.47258199745408375,False,False
palladium,__ANY__,GLO,GLO,15615.3932327337,0.0007984243631362915,342,54,1253.157749328933,24413.204491878932,34556.73820406692,162772.2184614619,12.460836028900397,0.6396289859419385,0.45187694337702144,False,False
"aluminium, primary","aluminium production, primary",GLO,GLO,1.203620070084112,20.53958410670757,1821,138,0.002706914976200656,1.505109480727566,3.000242008330494,45.3440152840617,444.64642615907974,0.799689381733404,0.40117432751829074,False,False
natural gas,natural gas,GLO,GLO,0.6516938604916307,558678.7081546149,913,23,0.002842020193216666,0.22982484586964225,1.637223970913205,28.69937057568899,229.30655526202582,2.8356109976954995,0.39804808142903697,False,False
bentonite,bentonite,GLO,GLO,0.08334041837885175,8987.601817786694,2774,86,9.396306235746935e-05,0.055681074299677016,0.21080158997435533,9.438736759204575,886.9487252532784,1.4967458768900797,0.3953500464061508,False,False
ferroniobium,ferroniobium,GLO,GLO,19.9826470798549,0.1996060907840729,429,92,1.314773560727743,31.483440470739787,53.42910428947213,58.69957694261781,15.19854648491278,0.6347034117324775,0.3740030334701373,False,False
titanium dioxide,__ANY__,GLO,GLO,0.5526999025909377,0.4077896084368229,754,35,0.0034631323624231946,0.5390245652607911,1.524635247885178,8.093514426864626,159.5953734220563,1.0253705270807651,0.3625128720837249,False,False
"gypsum, mineral",gypsum quarry operation,GLO,GLO,0.03787037863620626,3.915591762602329,1620,55,9.266273559241265e-07,0.018228580900367185,0.1194700934780766,1.712134127074531,40869.048808124266,2.0775275290597865,0.3169862643754914,False,False
mercury,mercury,GLO,GLO,84.21036110051142,0.007100814077258109,351,28,4.547767502318681,111.3410378690736,279.72263965429414,605.3877932723666,18.516857129916325,0.7563281491909096,0.30104950105070505,False,False
barite,__ANY__,GLO,GLO,0.145963290090204,309.9331766366959,1104,45,0.001167138603875662,0.11656879565610712,0.5566341224453618,1.418037467089493,125.06080220936109,1.2521643486891159,0.26222483352075043,False,False
tantalum,tantalum,GLO,GLO,58.18397043480898,0.2333124625384808,459,50,2.061726718707426,89.8376443491834,236.7625348852421,714.4231825498501,28.220990641905583,0.6476569021406876,0.24574821545566963,False,False
__ANY__,rare earth,GLO,GLO,206.8409061043811,0.001799041986465454,722,22,0.8066918072742141,95.94666531814019,866.3956883998168,1812.611923161818,256.4063552390472,2.1557904635720013,0.238737229275003,False,False
cobalt,cobalt,GLO,GLO,34.25902399706768,0.3194753885269165,978,82,0.4198867338747845,47.06709042298855,163.6051558221164,431.1833985086995,81.59110834705284,0.7278763928083146,0.20940063792559582,False,False
vanadium pentoxide,vanadium,GLO,GLO,12.54958353457707,0.9864141052745283,657,103,0.669444776999899,22.04698772222333,64.09765688139565,148.438972240821,18.746256548326112,0.5692198722425517,0.19578849126729292,False,False
fluorspar,production,GLO,GLO,0.4313414516622356,7.864003658294678,451,40,0.005914292847236251,0.5069090913747698,2.715989386911645,3.627915820885928,72.93204154809504,0.8509246707183926,0.1588155880655758,False,False
zirconium,zirconium,GLO,GLO,0.5670208015267585,7.396512263475358,840,90,0.01361037173520182,0.839259600300549,3.5858860108879824,41.19575928986325,41.66093421682362,0.6756202744939724,0.15812571838733536,False,False
hard coal,hard coal,GLO,GLO,0.09745904039213425,247.1113730946153,1832,142,0.00011429341375135255,0.13114518818333462,0.6468357719667299,20.59356302977079,852.7091561387623,0.743138514970837,0.15067045549414523,False,False
feldspar,feldspar production,GLO,GLO,0.07134415984824395,0.002028804022073746,975,77,0.0001172125365929935,0.1263942140057723,0.5495120526582346,5.111715529686784,608.6734569696927,0.5644574825631317,0.12983183808821022,False,False
petroleum,petroleum,GLO,GLO,0.07687759320673943,5159619.477278338,1619,125,0.0001524911785492952,0.09908198006022188,0.7332285988849485,5.021537111708915,504.14452782189966,0.7758988381137856,0.10484805601370488,False,False
nickel,nickel,GLO,GLO,4.981388689651268,0.1886787740528583,364,29,0.004951008460156255,7.752145091894816,49.65789681991735,234.67797893078,1006.1361699822371,0.6425819731959755,0.10031412944684512,False,False
tungsten,tungsten,GLO,GLO,20.85891366844629,12.33063760688827,700,109,0.30306964972462835,50.21244885629523,214.2199371533417,4692.908105762119,68.82547852415732,0.4154131922173951,0.09737148626607607,False,False
selenium,__ANY__,GLO,GLO,5.468381309866172,0.02079524122625589,847,82,0.177843929005233,8.233120502709637,61.214861425565694,245.5603839468771,30.748203441373963,0.6641930369009478,0.08933094321409939,False,False
graphite,graphite,GLO,GLO,1.232573753867215,0.3194753885269165,1066,131,0.018426395317284967,3.5518157279733913,16.30816914808531,65.89912618762678,66.89174592444532,0.34702637982024526,0.07558014285202136,False,False
bismuth,bismuth,GLO,GLO,6.576003390438495,0.2632373218640685,668,188,0.423077794364568,40.413772529414445,97.60048759298343,157.5582820757031,15.543248731158705,0.16271689027923014,0.06737674731566862,False,False
tin,tin,GLO,GLO,1.74529215076846,0.1865324475288392,309,66,0.06556362418292605,6.909329152799092,26.220149925449025,27.32914930368937,26.61982421684013,0.2525993641598926,0.06656301187181604,False,False
copper concentrate,copper mine operation,GLO,GLO,0.5638740479582589,2018.962012410164,1002,65,0.0005857526393129571,0.824190012433195,8.558110688423884,660.7436447427068,962.6487532683419,0.6841554003955658,0.06588767877482378,False,False
kaolin,kaolin,GLO,GLO,0.03679017674430707,0.02123919010162353,1876,222,4.487890280775959e-05,0.11702668180431983,0.6003633877076936,75.27344067578323,819.7655121360503,0.31437426215180464,0.06127984733509359,False,False
cadmium,__ANY__,GLO,GLO,1.94759316285947,0.0038751779794693,386,58,0.07296977657665571,10.080232566736369,35.28839398173169,94.32272547491654,26.69040874496166,0.19320914968631855,0.05519075659458212,False,False
zinc,zinc,GLO,GLO,0.2309986756258436,0.05477770859599113,785,84,0.0007402555446919248,0.6608824903982163,4.792293128345026,40.31058737727823,312.05261113171304,0.349530633633,0.04820211732449197,False,False
beryllium,beryllium,GLO,GLO,136.1473533887344,0.002028804022073746,96,15,10.350001372468657,645.9953623610068,2862.200063514453,2862.200063514453,13.15433191640832,0.21075593002887547,0.04756737836891844,False,False
arsenide,arsenide,GLO,GLO,60.9848168147541,0.003043206033110619,281,17,0.7570077261046597,68.38714443011808,1542.8428457318794,4119.694183759495,80.56036247947445,0.8917584923738392,0.039527562371930815,False,False
borate,borate,GLO,GLO,0.2678939918383662,2.226105213220417,657,109,0.0135787716965993,1.1716619259600276,8.39217433579667,617.9403814104786,19.728882539902944,0.22864444589582547,0.031921881162033205,False,False
lignite,lignite,GLO,GLO,0.009507269534479395,8.115216088294982,422,157,0.0012377479338546264,0.5835527831095161,1.0527100407466141,1.440905842606537,7.6811031345224,0.016292047282885042,0.009031232881313215,False,False
asbestos,asbestos,GLO,GLO,0.2336985650863825,1.903018172705173,286,106,0.1336625366703495,4.204888710116162,33.24804494175318,39.41667790735269,1.7484223396324643,0.05557782409892282,0.007028941566212269,False,False
lithium,lithium,GLO,GLO,0.5684516598262471,0.0002677720546722412,705,345,0.5161393525785142,30.511154279106304,81.1949464959916,295.7926112069198,1.1013530686749473,0.018630945739588633,0.007001071918365144,False,False
gold,__ANY__,GLO,GLO,5.213287644616829,0.001197636544704437,1547,651,1.672796119824919,1950.1603436001733,2960.4501200125997,8605.29810505117,3.116511081555157,0.0026732610278561125,0.0017609780382297543,False,False
sulfur,__ANY__,GLO,GLO,0.0005315375504576888,761.6663331434726,1637,670,0.0001740977827014962,0.057080929298630706,0.3866410710185985,10.06016808705013,3.0530977604065757,0.009311998893305327,0.0013747570816968907,False,False
